,accuracy,precision,recall,f1,roc_auc
LR,0.9666666666666668,0.9988165680473372,0.9342372498025702,0.9653681067464944,0.9842480111817311
KNN,0.9666666666666666,0.9597486349344806,0.9742436357950977,0.9668817289393143,0.9928734312396793
MLP,0.9704301075268817,0.9978609625668449,0.9428670754004539,0.969517253989037,0.9905060705772565
DT,0.9806451612903226,0.9788521016384724,0.9827676220273821,0.9807502039161398,0.9805383724751617
SVC,0.967741935483871,1.0,0.9353361509014713,0.9665077078860955,0.9959435660294081
BNB,0.9306451612903226,0.9751328425557102,0.8840242538400389,0.9271587078775344,0.9339488266302975
PA,0.9231182795698925,0.9214239540089789,0.9483056174791852,0.9291404620902405,0.9838014753653337
GNB,0.9688172043010752,0.987684096078568,0.9492778305014236,0.9680390245081829,0.9724921359900195
RF,0.9870967741935484,1.0,0.9741377964294984,0.9868946306433237,0.998258646911076
SGD,0.9704301075268817,0.9978609625668449,0.9428610704764161,0.9695238298808821,0.9840045874671428
Ada,0.9849462365591398,0.9956272401433692,0.9741377964294984,0.9847495675525938,0.9927279870029582
LGBM,0.9903225806451614,0.9978258300838945,0.9828083220680821,0.9902438237023873,0.9962566612269923
GBDT,0.985483870967742,0.9978347378277153,0.9730116221074478,0.9852494727012825,0.9939484191661176
XG,0.9903225806451614,0.9988950276243095,0.9816747258525187,0.9901963605548596,0.9952558896680775
HGBDT,0.9887096774193548,0.9978197588071052,0.979585596959266,0.9886048021133013,0.9961982955138813
